station	mntmax14	mntmax13	tmax_diff	indicator	lat	lon	elev	state
USC00205	-5.428873239	0.1984536082	-5.627326848	1	41.9497	-83.28	176.2	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	41.8833	-86.55	-999.9	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	41.8406	-86.2658	198.1	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	42	-83	243.8	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	43.2294	-83.1967	246.9	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	44.5156	-84.7608	358.7	MI
USC00205	-5.428873239	0.1984536082	-5.627326848	1	45.1167	-85.9833	180.1	MI
USC00206	-6.415105163	-0.414346895	-6.000758267	1	45.1333	-85.6167	-999.9	MI
USC00206	-6.415105163	-0.414346895	-6.000758267	1	45.05	-85.6167	221	MI
USC00206	-6.415105163	-0.414346895	-6.000758267	1	45.1322	-85.6472	227.4	MI
USC00206	-6.415105163	-0.414346895	-6.000758267	1	44.8831	-85.6753	249.9	MI
USC00206	-6.415105163	-0.414346895	-6.000758267	1	41.8833	-85.4167	262.1	MI
USC00206	-6.415105163	-0.414346895	-6.000758267	1	46.3333	-84.6667	248.7	MI
USC00206	-6.415105163	-0.414346895	-6.000758267	1	43.0975	-86.0894	192	MI
USC00206	-6.415105163	-0.414346895	-6.000758267	1	43.1458	-84.1456	207.3	MI
USC00206	-6.415105163	-0.414346895	-6.000758267	1	43.5817	-84.5889	207.3	MI
USC00206	-6.415105163	-0.414346895	-6.000758267	1	44.95	-85.4833	258.5	MI
USC00206	-6.415105163	-0.414346895	-6.000758267	1	44.9214	-85.5161	199.9	MI
USC00206	-6.415105163	-0.414346895	-6.000758267	1	42.4667	-84.9167	284.7	MI
USC00206	-6.415105163	-0.414346895	-6.000758267	1	44.0333	-83.8333	187.8	MI
USC00206	-6.415105163	-0.414346895	-6.000758267	1	45.4108	-84.2233	227.1	MI
USC00206	-6.415105163	-0.414346895	-6.000758267	1	45.1833	-84.2	271	MI
USC00206	-6.415105163	-0.414346895	-6.000758267	1	42.04	-84.2225	310.9	MI
USC00206	-6.415105163	-0.414346895	-6.000758267	1	46.8667	-89.3167	214	MI
USC00206	-6.415105163	-0.414346895	-6.000758267	1	46.8561	-89.312	205.1	MI
