"","STATE","N1910wp","N1920wp","N1930wp","N1940wp","N1950wp","N1960wp","N1970wp","N1980wp","N1990wp","N2000wp","N2010wp","np1910p","np1920p","np1930p","np1940p","np1950p","np1960p","np1970p","np1980p","np1990p","np2000p","np2010p","ratio1910","ratio1920","ratio1930","ratio1940","ratio1950","ratio1960","ratio1970","ratio1980","ratio1990","ratio2000","ratio2010"
"31","New Jersey",0.027509577950832,0.0297665935554207,0.0328023370671066,0.0314771578455342,0.0319531042552308,0.0338315557930535,0.0352743273541928,0.0325092005124527,0.0310811465051892,0.0298994137293633,0.0284761815731892,0.0118893212278426,0.0132966529115085,0.0118893212278426,0.0132966529115085,0.0118893212278426,0.0132966529115085,0.0118893212278426,0.0132966529115085,0.0118893212278426,0.0132966529115085,NA,0.432188427212241,0.446697163609004,0.362453480174891,0.42242228401809,0.372086578282807,0.393025168361859,0.337053095540585,0.409011993586713,0.382525182134373,0.444712830554609,NA
"32","New Mexico",0.00354880556655722,0.00339883772860226,0.00343594142929943,0.004023907496721,0.00450145982379026,0.00530340264162733,0.00499970656249771,0.00575112834245596,0.00609171233021377,0.00646376831802141,0.0066695020544718,0.000936734399769419,0.00160476845483723,0.000936734399769419,0.00160476845483723,0.000936734399769419,0.00160476845483723,0.000936734399769419,0.00160476845483723,0.000936734399769419,0.00160476845483723,NA,0.263957656231408,0.472152124631492,0.27262816291965,0.398808485569045,0.208095692605934,0.302592234321627,0.187357875519289,0.279035409971729,0.153771936196558,0.248271345116599,NA
"33","New York",0.0988155981639341,0.0979539374155649,0.10217368422283,0.101987560675206,0.0980017432321751,0.0935869220473037,0.0897435862105849,0.0775034081959717,0.0723351058926398,0.0674306320702696,0.0627639904548191,0.0681654417062977,0.0720617453767385,0.0681654417062977,0.0720617453767385,0.0681654417062977,0.0720617453767385,0.0681654417062977,0.0720617453767385,0.0681654417062977,0.0720617453767385,0.166666666666667,0.689824713636929,0.735669716583418,0.667152625696027,0.70657386939795,0.695553359135741,0.769998027505539,0.759557808915128,0.929788083570807,0.942356285583784,1.0686796662627,2.65545044951599
"34","North Carolina",0.0239219665904559,0.0241377655183399,0.0257322116775695,0.0270240581649383,0.0268422770848365,0.0254075079810515,0.0250086650918313,0.0259628113617023,0.0266520863045915,0.0286022972213115,0.0308846018043506,0.00598068886006629,0.00779458963778083,0.00598068886006629,0.00779458963778083,0.00598068886006629,0.00779458963778083,0.00598068886006629,0.00779458963778083,0.00598068886006629,0.00779458963778083,NA,0.250008243989957,0.322920927865444,0.232420319520362,0.288431500191697,0.222808550897675,0.306782925881354,0.239144665982983,0.300221325386919,0.224398525192978,0.272516210060677,NA
"35","North Dakota",0.00625680809106981,0.00610132637484778,0.00552622158437145,0.00485708843797614,0.00409471490115651,0.00352685033599255,0.00303998398204247,0.0028811701015607,0.00256845453015048,0.00228198298109743,0.00217846387143577,0.00122496036892924,0.000993428091089714,0.00122496036892924,0.000993428091089714,0.00122496036892924,0.000993428091089714,0.00122496036892924,0.000993428091089714,0.00122496036892924,0.000993428091089714,NA,0.195780396505623,0.162821660415519,0.221663273943541,0.204531604432481,0.299156448861254,0.281675715283829,0.402949612947049,0.344800222156819,0.47692507480655,0.435335451367812,NA
"36","Ohio",0.0516881572046887,0.0543228683809781,0.0539493136120218,0.0522652330519838,0.052513365896805,0.0541279564116573,0.0524182670263162,0.0476620169594401,0.0436135279599455,0.0403420620710315,0.0373657351446485,0.0159965412883701,0.0171939477303989,0.0159965412883701,0.0171939477303989,0.0159965412883701,0.0171939477303989,0.0159965412883701,0.0171939477303989,0.0159965412883701,0.0171939477303989,NA,0.309481748885391,0.316513988359635,0.296510561810104,0.328974860081415,0.304618472177258,0.317653738848635,0.305171120600747,0.360747379722322,0.366779346606889,0.426203987791328,NA
"37","Oklahoma",0.0179679282637332,0.01913085828967,0.0194479624070344,0.0176782175259089,0.0147585608634953,0.0129837317457713,0.0125938917581048,0.0133539881702952,0.0126476080826916,0.0122614975111426,0.0121503002903316,0.00821444012105491,0.00955219318355494,0.00821444012105491,0.00955219318355494,0.00821444012105491,0.00955219318355494,0.00821444012105491,0.00955219318355494,0.00821444012105491,0.00955219318355494,NA,0.457172357351575,0.499308135522221,0.422380501830038,0.540336895931697,0.556588152261715,0.735704755042095,0.652255893478559,0.715306398488728,0.649485663008207,0.779039687026354,NA
"38","Oregon",0.00729454592862492,0.00738896098063547,0.00774160459439565,0.0082449026107746,0.0100534146861066,0.00986312561106505,0.0102916449893792,0.0116228371564859,0.011428259625222,0.0121575432724132,0.0124085161677705,0.00353076812220781,0.00412654745529574,0.00353076812220781,0.00412654745529574,0.00353076812220781,0.00412654745529574,0.00353076812220781,0.00412654745529574,0.00353076812220781,0.00412654745529574,NA,0.48402849975247,0.558474657818648,0.456077041801363,0.500496809980882,0.351200883724332,0.418381314201892,0.34307130938266,0.355037879283458,0.308950639729558,0.339422806304899,NA
"39","Pennsylvania",0.083110007562088,0.0822476003153963,0.078174877184434,0.0749079732556764,0.0693735776632085,0.0631227168490631,0.0580374844732292,0.0523686368855958,0.0477731054930819,0.0436392965087799,0.0411419030774786,0.0250756593169045,0.0300320953690967,0.0250756593169045,0.0300320953690967,0.0250756593169045,0.0300320953690967,0.0250756593169045,0.0300320953690967,0.0250756593169045,0.0300320953690967,NA,0.301716484602308,0.365142511804991,0.320763654770378,0.400919876267257,0.361458355782666,0.475773174353513,0.432059720446206,0.573474834464465,0.524890711166677,0.688189264532587,NA
"40","Rhode Island",0.00588332265550552,0.00570070022659641,0.00558021394089788,0.00539740722795381,0.00523305352072222,0.00479295551174576,0.00465880629466599,0.00418084987272221,0.0040346769828474,0.0037250795963268,0.00340917315540282,0.00172935581495893,0.00160476845483723,0.00172935581495893,0.00160476845483723,0.00172935581495893,0.00160476845483723,0.00172935581495893,0.00160476845483723,0.00172935581495893,0.00160476845483723,NA,0.293942031776997,0.281503743584032,0.309908514848208,0.297322100605258,0.330467824972724,0.334818141104072,0.371201485011068,0.383837856821284,0.42862311464113,0.430801118027021,NA
"41","South Carolina",0.0164309304143917,0.0158809619973723,0.0141130516830551,0.0143745333138415,0.0139898617947483,0.0132865927674992,0.0127478541785978,0.0137800830167656,0.014019157976893,0.0142562178510723,0.0149811525373364,0.00302637267617812,0.00443221763716949,0.00302637267617812,0.00443221763716949,0.00302637267617812,0.00443221763716949,0.00302637267617812,0.00443221763716949,0.00302637267617812,0.00443221763716949,NA,0.184187541414414,0.279089997060812,0.214437865328004,0.308338193692983,0.216326131064011,0.333585721691666,0.237402517614224,0.321639400268998,0.21587406898234,0.310897159644353,NA
"42","South Dakota",0.00633088497941027,0.00600394050125872,0.00562365457411037,0.00486485148678539,0.00431347469253062,0.0037949026945346,0.00327494066465371,0.00304913171974206,0.00279845746212093,0.00268225032915526,0.00263705835321254,0.00172935581495893,0.000993428091089714,0.00172935581495893,0.000993428091089714,0.00172935581495893,0.000993428091089714,0.00172935581495893,0.000993428091089714,0.00172935581495893,0.000993428091089714,NA,0.273161780791036,0.165462680864583,0.307514587208177,0.204205224720263,0.400919429979164,0.261779595171292,0.528057144248074,0.325806879597105,0.617967519023234,0.370371132139103,NA
